date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:06:37	528311/528311	---M--	200	added ('OK')	application/pdf	date:Mon,%2031%20Oct%202022%2006:06:35%20GMT	https://www.abports.co.uk/media/jc2atrqo/lntm-02-2021-restrictions-on-shore-leave-for-visiting-ships.pdf	D:/PSPLL/www.abports.co.uk/media/jc2atrqo/lntm-02-2021-restrictions-on-shore-leave-for-visiting-ships.pdf	(from https://www.abports.co.uk/locations/ayr/)
12:06:38	343355/343355	---M--	200	added ('OK')	application/pdf	date:Mon,%2031%20Oct%202022%2006:06:36%20GMT	https://www.abports.co.uk/media/khzavhzk/supplementary-questions-in-addition-to-maritime-declaration-of-health.pdf	D:/PSPLL/www.abports.co.uk/media/khzavhzk/supplementary-questions-in-addition-to-maritime-declaration-of-health.pdf	(from https://www.abports.co.uk/locations/ayr/)
12:06:38	569215/569215	---M--	200	added ('OK')	application/pdf	date:Mon,%2031%20Oct%202022%2006:06:36%20GMT	https://www.abports.co.uk/media/qzjocznk/lntm-09-2021-maritime-declaration-of-health-update.pdf	D:/PSPLL/www.abports.co.uk/media/qzjocznk/lntm-09-2021-maritime-declaration-of-health-update.pdf	(from https://www.abports.co.uk/locations/ayr/)
12:06:38	453776/453776	---M--	200	added ('OK')	application/pdf	date:Mon,%2031%20Oct%202022%2006:06:36%20GMT	https://www.abports.co.uk/media/nqhkfuvz/lntm-08-2021-dredging-operations-port-of-ayr.pdf	D:/PSPLL/www.abports.co.uk/media/nqhkfuvz/lntm-08-2021-dredging-operations-port-of-ayr.pdf	(from https://www.abports.co.uk/locations/ayr/)
12:06:38	541559/541559	---M--	200	added ('OK')	application/pdf	date:Mon,%2031%20Oct%202022%2006:06:37%20GMT	https://www.abports.co.uk/media/qgghkfzh/lntm-13-2021-port-of-ayr-euchar-buoy.pdf	D:/PSPLL/www.abports.co.uk/media/qgghkfzh/lntm-13-2021-port-of-ayr-euchar-buoy.pdf	(from https://www.abports.co.uk/locations/ayr/)
12:06:39	536199/536199	---M--	200	added ('OK')	application/pdf	date:Mon,%2031%20Oct%202022%2006:06:37%20GMT	https://www.abports.co.uk/media/2qojio30/lntm-15-2021-port-of-ayr-diving-operations.pdf	D:/PSPLL/www.abports.co.uk/media/2qojio30/lntm-15-2021-port-of-ayr-diving-operations.pdf	(from https://www.abports.co.uk/locations/ayr/)
12:06:40	91112/91112	---M--	200	added ('OK')	application/pdf	date:Mon,%2031%20Oct%202022%2006:06:39%20GMT	https://www.abports.co.uk/media/4dulz3zv/lntm-15-2020-dredging-operations-port-of-ayr.pdf	D:/PSPLL/www.abports.co.uk/media/4dulz3zv/lntm-15-2020-dredging-operations-port-of-ayr.pdf	(from https://www.abports.co.uk/locations/ayr/)
12:06:41	754731/754731	---M--	200	added ('OK')	application/pdf	date:Mon,%2031%20Oct%202022%2006:06:39%20GMT	https://www.abports.co.uk/media/dqpdd2c3/lntm-16-2020-attachment-pilotage-directions-ayr.pdf	D:/PSPLL/www.abports.co.uk/media/dqpdd2c3/lntm-16-2020-attachment-pilotage-directions-ayr.pdf	(from https://www.abports.co.uk/locations/ayr/)
12:06:41	472604/472604	---M--	200	added ('OK')	application/pdf	date:Mon,%2031%20Oct%202022%2006:06:38%20GMT	https://www.abports.co.uk/media/owfow04m/lntm-07-2020-maritime-declaration-of-health.pdf	D:/PSPLL/www.abports.co.uk/media/owfow04m/lntm-07-2020-maritime-declaration-of-health.pdf	(from https://www.abports.co.uk/locations/ayr/)
12:06:42	754727/754727	---M--	200	added ('OK')	application/pdf	date:Mon,%2031%20Oct%202022%2006:06:41%20GMT	https://www.abports.co.uk/media/pfjj4tgw/lntm-18-2020-attachment-revised-pilotage-directions-ayr.pdf	D:/PSPLL/www.abports.co.uk/media/pfjj4tgw/lntm-18-2020-attachment-revised-pilotage-directions-ayr.pdf	(from https://www.abports.co.uk/locations/ayr/)
12:06:43	522144/522144	---M--	200	added ('OK')	application/pdf	date:Mon,%2031%20Oct%202022%2006:06:39%20GMT	https://www.abports.co.uk/media/epghmum1/lntm-16-2020-ayr-pilotage-directions-revision-consultation.pdf	D:/PSPLL/www.abports.co.uk/media/epghmum1/lntm-16-2020-ayr-pilotage-directions-revision-consultation.pdf	(from https://www.abports.co.uk/locations/ayr/)
12:06:43	547660/547660	---M--	200	added ('OK')	application/pdf	date:Mon,%2031%20Oct%202022%2006:06:41%20GMT	https://www.abports.co.uk/media/jdidgezi/lntm-24-2020-leading-light-operational.pdf	D:/PSPLL/www.abports.co.uk/media/jdidgezi/lntm-24-2020-leading-light-operational.pdf	(from https://www.abports.co.uk/locations/ayr/)
12:06:45	754727/754727	---M--	200	added ('OK')	application/pdf	date:Mon,%2031%20Oct%202022%2006:06:40%20GMT	https://www.abports.co.uk/media/y54cxnz2/lntm-18-2020-attachment-revised-pilotage-directions-ayr.pdf	D:/PSPLL/www.abports.co.uk/media/y54cxnz2/lntm-18-2020-attachment-revised-pilotage-directions-ayr.pdf	(from https://www.abports.co.uk/locations/ayr/)
12:06:45	533992/533992	---M--	200	added ('OK')	application/pdf	date:Mon,%2031%20Oct%202022%2006:06:41%20GMT	https://www.abports.co.uk/media/hv5kzwix/lntm-22-2020-dredging-operations-port-of-ayr.pdf	D:/PSPLL/www.abports.co.uk/media/hv5kzwix/lntm-22-2020-dredging-operations-port-of-ayr.pdf	(from https://www.abports.co.uk/locations/ayr/)
12:06:45	535620/535620	---M--	200	added ('OK')	application/pdf	date:Mon,%2031%20Oct%202022%2006:06:43%20GMT	https://www.abports.co.uk/media/siomqgm0/lntm-27-2020-hmrc-s-notice-69-reports-and-clearance-by-ship-s-masters.pdf	D:/PSPLL/www.abports.co.uk/media/siomqgm0/lntm-27-2020-hmrc-s-notice-69-reports-and-clearance-by-ship-s-masters.pdf	(from https://www.abports.co.uk/locations/ayr/)
